horizontal_flip {'p': 0}
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.564
Round: 1000 f1_score: 0.49041608228143996
Round: 1000 average_Acc_f1: 0.52720804114072


seed: 43, noise_scale: 0.3
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.556
Round: 2 f1_score: 0.44451116982944994
Round: 2 average_Acc_f1: 0.500255584914725


Round: 5 Accuracy: 0.692
Round: 5 f1_score: 0.6875
Round: 5 average_Acc_f1: 0.68975


Round: 10 Accuracy: 0.686
Round: 10 f1_score: 0.6799040935577131
Round: 10 average_Acc_f1: 0.6829520467788566


Round: 20 Accuracy: 0.772
Round: 20 f1_score: 0.771967163271511
Round: 20 average_Acc_f1: 0.7719835816357555


Round: 50 Accuracy: 0.804
Round: 50 f1_score: 0.8018568840579711
Round: 50 average_Acc_f1: 0.8029284420289855


Round: 100 Accuracy: 0.82
Round: 100 f1_score: 0.82
Round: 100 average_Acc_f1: 0.82


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.492
Round: 1000 f1_score: 0.3856899620772386
Round: 1000 average_Acc_f1: 0.4388449810386193


seed: 44, noise_scale: 0.3
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.52
Round: 2 f1_score: 0.34582088575852066
Round: 2 average_Acc_f1: 0.43291044287926034


Round: 5 Accuracy: 0.69
Round: 5 f1_score: 0.6849990448358134
Round: 5 average_Acc_f1: 0.6874995224179067


Round: 10 Accuracy: 0.696
Round: 10 f1_score: 0.6918535817966558
Round: 10 average_Acc_f1: 0.6939267908983279


Round: 20 Accuracy: 0.766
Round: 20 f1_score: 0.7655038060536095
Round: 20 average_Acc_f1: 0.7657519030268047


Round: 50 Accuracy: 0.824
Round: 50 f1_score: 0.8231823953963125
Round: 50 average_Acc_f1: 0.8235911976981563


Round: 100 Accuracy: 0.79
Round: 100 f1_score: 0.7874278773155177
Round: 100 average_Acc_f1: 0.7887139386577589


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.52
Round: 1000 f1_score: 0.4572591587516961
Round: 1000 average_Acc_f1: 0.48862957937584806


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 0.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.702
Round: 5 f1_score: 0.701970197019702
Round: 5 average_Acc_f1: 0.701985098509851


Round: 10 Accuracy: 0.674
