horizontal_flip {'p': 0}
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.528
Round: 1000 f1_score: 0.5278111244497798
Round: 1000 average_Acc_f1: 0.5279055622248899


seed: 43, noise_scale: 0.3
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.668
Round: 2 f1_score: 0.6674679487179488
Round: 2 average_Acc_f1: 0.6677339743589744


Round: 5 Accuracy: 0.724
Round: 5 f1_score: 0.7227178473260355
Round: 5 average_Acc_f1: 0.7233589236630178


Round: 10 Accuracy: 0.72
Round: 10 f1_score: 0.7126436781609194
Round: 10 average_Acc_f1: 0.7163218390804598


Round: 20 Accuracy: 0.814
Round: 20 f1_score: 0.813605589427228
Round: 20 average_Acc_f1: 0.8138027947136139


Round: 50 Accuracy: 0.808
Round: 50 f1_score: 0.8065015479876161
Round: 50 average_Acc_f1: 0.8072507739938081


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.484
Round: 1000 f1_score: 0.4465894465894466
Round: 1000 average_Acc_f1: 0.4652947232947233


seed: 44, noise_scale: 0.3
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.558
Round: 2 f1_score: 0.45068329033252297
Round: 2 average_Acc_f1: 0.5043416451662615


Round: 5 Accuracy: 0.678
Round: 5 f1_score: 0.6631446804059002
Round: 5 average_Acc_f1: 0.6705723402029502


Round: 10 Accuracy: 0.696
Round: 10 f1_score: 0.6816940577306461
Round: 10 average_Acc_f1: 0.688847028865323


Round: 20 Accuracy: 0.842
Round: 20 f1_score: 0.8416649630618387
Round: 20 average_Acc_f1: 0.8418324815309193


Round: 50 Accuracy: 0.83
Round: 50 f1_score: 0.8299993199972799
Round: 50 average_Acc_f1: 0.8299996599986399


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.3252361673414305
Round: 1000 average_Acc_f1: 0.4036180836707153


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 0.5
Round: 1 Accuracy: 0.62
Round: 1 f1_score: 0.6172996664464461
Round: 1 average_Acc_f1: 0.6186498332232231


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.714
Round: 5 f1_score: 0.7112266204629261
